SCHOOL,PROGRAM,DEGREE,ONLINE,ONCAMPUS,COUNTRY,STATE,CITY,DEPARTMENT,URL
University of Notre Dame,Master of Science in Data Science,M,T,F,US,IN,Notre Dame,Applied and Computational Mathematics and Statistics,http://datascience.nd.edu/
University of Evansville,Statistics and Data Science,B,F,T,US,IN,Evansville,Mathematics,https://www.evansville.edu/majors/math/datascience.cfm
Indiana University-Purdue University Indianapolis,BS in Applied Data and Information Science,B,F,T,US,IN,Indianapolis,School of Informatics and Computing,https://soic.iupui.edu/undergraduate/degrees/data-info-science/
Indian University-Purdue University Indianapolis,Master of Science in Applied Data Science,M,F,T,US,IN,Indianapolis,School of Informatics and Computing,https://soic.iupui.edu/graduate/degrees/data-science/data-science-masters/
Valparaiso University,Bachelors of Science in Data Science,B,F,T,US,IN,Valparaiso,Interdisciplinary,http://www.valpo.edu/mathematics-statistics/academics/degree-programs/b-s-in-data-science/
Valparaiso University,Bachelors of Arts in Business Analytics,B,F,T,US,IN,Valparaiso,College of Business,http://www.valpo.edu/college-of-business/academics/major-programs/business-analytics/
Valparaiso University,Masters of Science in Analytics and Modeling,M,F,T,US,IN,Valparaiso,Graduate School,http://www.valpo.edu/analytics-modeling
University of Kansas,Business Analytics,C,F,T,US,KS,Lawrence,School of Business,http://business.ku.edu/business-analytics
University of Kentucky,Master of Data Science,B,F,T,US,KY,Lexington,Department of Computer Science,https://www.engr.uky.edu/data-science
Northern Kentucky University,Data Science,B,F,T,US,KY,Highland Heights,Computer Science,http://informatics.nku.edu/content/informatics/departments/computer-science/programs/datascience.html
University of Louisville,Certificate in Data Mining,C,F,T,US,KY,Louisville,Department of Computer Engineering & Computer Science,http://louisville.edu/speed/computer/graduate-studies/dataMining
Louisiana State University,Master of Science in Analytics,M,F,T,US,LA,Baton Rouge,Department of Information Systems & Decision Sciences,http://businessanalytics.lsu.edu/
Babson College,MBA with Business Analytics Concentration,M,F,T,US,MA,Wellesley,F.W. Olin Graduate School of Business,http://www.babson.edu/academics/graduate/mba/concentrations/pages/business-analytics.aspx
Becker College,Data Science,B,F,T,US,MA,Worcester,Data Science,http://www.becker.edu/academics/departments-programs/data-science/
Bentley University,Master of Science In Marketing Analytics,M,F,T,US,MA,Waltham,Graduate School of Business,http://www.bentley.edu/graduate/academics/ms-programs/marketing-analytics
Bentley University,Master of Business Analytics,M,F,T,US,MA,Waltham,Graduate School of Business,http://www.bentley.edu/graduate/degree-programs/ms-programs/business-analytics
Bentley University,Graduate Certificate in Business Analytics,C,F,T,US,MA,Waltham,Graduate School of Business,http://www.bentley.edu/graduate/special-programs/graduate-certificate-programs
Brandeis University,Master of Arts in Computational Linguistics,M,F,T,US,MA,Waltham,Mitchom School of Computer Science,http://www.brandeis.edu/gsas/programs/comp_ling.html
Brandeis University,M.S. in Strategic Analytics,M,F,T,US,MA,Waltham,Graduate Professional Studies,https://www.brandeis.edu/gps/future-students/learn-about-our-programs/strategic-analytics.html
Harvard University,Data Science Certificate,C,T,F,US,MA,Cambridge,Extension School,http://www.extension.harvard.edu/professional-certificates/data-science-certificate
Harvard University,Master of Science in Computational Biology and Quantitative Genetics,M,F,T,US,MA,Cambridge,School of Public Health,http://www.hsph.harvard.edu/sm-computational-biology/
Harvard University,Master of Science in Computational Science and Engineering,M,F,T,US,MA,Cambridge,School of Engineering and Applied Sciences,http://www.seas.harvard.edu/computational-science-and-engineering/master-science-cse
Northeastern University,Master of Professional Studies in Analytics,M,F,T,US,MA,Boston,College of Professional Studies,https://www.northeastern.edu/graduate/program/professional-masters-in-analytics-14859/
Northeastern University,Master of Science in Urban Informatics,M,T,T,US,MA,Boston,Interdisciplinary,https://www.northeastern.edu/graduate/program/master-of-science-in-urban-informatics-boston-14300/
Northeastern University,Master of Science in Data Science,M,F,T,US,MA,Boston,Interdisciplinary,https://www.northeastern.edu/graduate/program/master-of-science-in-data-science-5256/
Northeastern University,Master of Professional Studies in Informatics,M,T,T,US,MA,Boston,College of Professional Studies,https://www.northeastern.edu/graduate/program/master-of-professional-studies-in-informatics-225/
Northeastern University,Master of Science in Health Informatics,M,T,T,US,MA,Boston,College of Computer and Information Sciences,https://www.northeastern.edu/graduate/program/master-of-science-in-health-informatics-boston-5247/
Northeastern University,Graduate Certificate in Data Analytics,C,T,T,US,MA,Boston,College of Computer and Information Sciences,https://www.northeastern.edu/graduate/program/graduate-certificate-in-data-analytics-boston-14423/
Northeastern University,Graduate Certificate in Game Analytics,C,F,T,US,MA,Boston,"College of Arts, Media, and Design",https://www.northeastern.edu/graduate/program/graduate-certificate-in-game-analytics-5224/
Northeastern University,Master of Science in Health Data Analytics,M,F,T,US,MA,Boston,Interdisciplinary,https://www.northeastern.edu/graduate/program/master-of-science-in-health-data-analytics-5257/
Northeastern University,Master of Science in Business Analytics,M,T,F,US,MA,Boston,Interdisciplinary,https://www.northeastern.edu/graduate/program/master-of-science-in-business-analytics-14873/
Northeastern University,Graduate Certificate in Learning Analytics,C,T,T,US,WA,Seattle,College of Professional Studies,https://www.northeastern.edu/graduate/program/graduate-certificate-in-learning-analytics-298/
Northeastern University,Graduate Certificate in Urban Analytics,C,F,T,US,MA,Boston,College of Professional Studies,https://www.northeastern.edu/graduate/program/graduate-certificate-in-urban-informatics-14299/
University of Massachusetts Amherst,MS with Data Science Concentration,M,F,T,US,MA,Amherst,College of Information and Computer Sciences,https://ds.cs.umass.edu/proposed-masters-concentration-data-science
University of Massachusetts Amherst,Certificate in Data Science,C,F,T,US,MA,Amherst,College of Information and Computer Sciences,https://ds.cs.umass.edu/academics/certificate-data-science
University of Massachusetts Dartmouth,Masters in Data Science,M,F,T,US,MA,Dartmouth,College of Engineering,https://www.umassd.edu/programs/data-science-ms/
Worcester Polytechnic Institute,Data Science,D,F,T,US,MA,Worcester,Data Science,http://www.wpi.edu/academics/datascience/phd-program.html
Worcester Polytechnic Institute,Data Science,B,F,T,US,MA,Worcester,Data Science,http://www.wpi.edu/academics/datascience/bsms-program.html
Worcester Polytechnic Institute,Graduate Certificate in Data Science,C,F,T,US,MA,Worcester,Data Science,http://www.wpi.edu/academics/datascience/certificate-program.html
Worcester Polytechnic Institute,Master of Science in Data Science,M,F,T,US,MA,Worcester,Data Science,http://www.wpi.edu/academics/datascience/degree-requirements.html
Smith College,Statistical & Data Sciences,B,F,T,US,MA,Northampton,Statistical & Data Sciences,http://smith.edu/statistics/
Boston University,Master of Science in Computer Science (Data Analytics Concentration),M,T,F,US,MA,Boston,MET Computer Science Department,http://www.bu.edu/csmet/mscs/
Boston University,Master of Science in Computer Information Systems Online (Data Analytics Concentration),M,T,F,US,MA,Boston,MET Computer Science Department,http://cisonline.bu.edu/
Boston University,Graduate Certificate in Data Analytics,C,T,T,US,MA,Boston,MET Computer Science Department,http://www.bu.edu/csmet/da/
Boston University,Graduate Certificate in Database Management and Business Intelligence,C,T,T,US,MA,Boston,MET Computer Science Department,http://www.bu.edu/csmet/academic-programs/dmbi/
Johns Hopkins University,Bioinformatics,M,F,T,US,MD,Baltimore,,http://advanced.jhu.edu/academic/biotechnology/ms-in-bioinformatics/
Johns Hopkins University,Master of Science in Geographic Information Systems,M,T,T,US,MD,Baltimore,Krieger School of Arts & Sciences,http://advanced.jhu.edu/academics/graduate-degree-programs/geographic-information-systems/
Johns Hopkins University,Master of Science in Information Systems,M,F,T,US,MD,Baltimore,Carey Business School,http://carey.jhu.edu/academics/master-of-science/ms-in-information-systems/
Notre Dame of Maryland University,Master of Science in Analytics in Knowledge Management,M,F,T,US,MD,Baltimore,College of Arts and Sciences,http://catalog.ndm.edu/graduate/artsandsciences/knowledgemanagementprogram/
University of Maryland-Baltimore County,Master of Science in Information Systems,M,T,F,US,MD,Baltimore,Department of Information Science,http://onlinems.umbc.edu/
University of Maryland-College Park,Master of Information Management,M,F,T,US,MD,College Park,College of Information Studies,http://ischool.umd.edu/mim
University of Maryland-College Park,Online MBA - Specialization in Information Systems & Business Analytics,M,F,T,US,MD,College Park,Robert H. Smith School of Business,http://onlinemba.umd.edu/
University of Maryland-College Park,"MS in Business, Marketing Analytics",M,T,F,US,MD,College Park,Robert H. Smith School of Business,http://www.rhsmith.umd.edu/ms/analytics/
University of Maryland-University College,Master of Science in Data Analytics,M,F,T,US,MD,Adelphi,University of Maryland University College Graduate School,http://www.umuc.edu/academic-programs/masters-degrees/data-analytics.cfm
Baker College,MBA in Business Intelligence,M,F,T,US,MI,Allen Park,Baker College,http://www.baker.edu/programs-degrees/business-intelligence-master-ba/
Central Michigan University,Data Mining,C,F,T,US,MI,Mount Pleasant,Mathematics,https://www.cmich.edu/colleges/cgs/landing_pages/Pages/Graduate-Certificate-Data-Mining.aspx
Central Michigan University,Applied Statistics and Analytics,M,F,T,US,MI,Mount Pleasant,Mathematics,https://www.cmich.edu/colleges/cst/math/Pages/Master-of-Science-in-Applied-Statistics-and-Analytics.aspx
Davenport University,Master of Science in Health Informatics and Information Management,M,T,F,US,MI,Grand Rapids,College of Health Professions,http://www.davenport.edu/college-health-professions/programs-and-degrees/master-science-informatics-and-information-
Eastern Michigan University,Master of Arts in Applied Statistics,M,T,F,US,MI,Ypsilanti,Department of Mathematics,http://catalog.emich.edu/preview_program.php?catoid=12&poid=6396
Eastern Michigan University,Enterprise Business Intelligence specialization in the Master of Business Administration (MBA),M,F,T,US,MI,Ypsilanti,College of Business; Computer Information Systems Department,http://www.emich.edu/cob/departments_centers/computer_information_systems.php
Grand Valley State University,Master of Science in Biostatistics,M,T,F,US,MI,Allendale,College of Liberal Arts and Sciences,http://catalog.gvsu.edu/preview_program.php?catoid=38&poid=5264&hl=%22master+of+science+in+biostatistics%22&returnto=search
Michigan State University,M.S. - Business Analytics,M,F,T,US,MI,East Lansing,Broad College of Business,http://broad.msu.edu/businessanalytics/
Michigan State University,Master of Science in Applied Statistics,M,T,F,US,MI,East Lansing,Department of Statistics and Probability (College of Natural Sciences),https://www.reg.msu.edu/academicprograms/ProgramDetail.asp?Program=3871
Michigan Technological University,Master of Science Degree in Integrated Geospatial Technology,M,T,T,US,MI,Houghton,School of Technology,http://www.mtu.edu/gradschool/programs/degrees/geospatial/
Oakland University,MS in Applied Statistics,M,T,F,US,MI,Rochester Hills,Department of Mathematics and Statistics,http://www.oakland.edu/?id=7773&sid=229
Oakland University,Master of Science in Information Technology Management in Business Analytics,M,F,T,US,MI,Rochester Hills,School of Business Administration,http://www.oakland.edu/MSITM-BA
University of Michigan-Ann Arbor,Graduate Data Science (DS) Certificate Program,C,T,F,US,MI,Ann Arbor,Trans-Disciplinary,http://midas.umich.edu/certificate/
University of Michigan-Ann Arbor,Data Science,B,F,T,US,MI,Ann Arbor,EECS,https://www.eecs.umich.edu/eecs/undergraduate/data-science/
